Gene_ID	MCF7-2_shRB1-3_DMSO_1	MCF7-2_shRB1-3_DMSO_2	MCF7-2_shRB1-3_LY500nM_1	MCF7-2_shRB1-3_LY500nM_2
MIR378D2	0	1	0	0
WDPCP	42	94	83	29
CATIP-AS1	4	8	9	9
AP1M1	423	1027	1009	585
RNF146	149	293	440	257
NOXO1	20	20	18	9
LOC102723641	0	0	0	0
C1orf86	215	633	672	324
PYURF	0	0	0	0
DUSP4	369	1250	636	443
TTTY15	0	0	0	0
HTR5AOS	0	0	0	0
OR6P1	0	0	0	0
NAALAD2	1	0	0	0
ZNF449	61	64	75	35
MBNL3	713	1026	935	608
ZNF295-AS1	0	1	0	0
SLC25A15	465	910	1158	648
LOC100505515	0	0	0	0
BTBD6	508	1377	1720	852
NEURL2	3	35	14	7
ZMAT5	109	364	225	136
TCEB3-AS1	111	29	43	27
HOMER3	248	742	990	559
LOC100129427	0	0	0	0
SNX8	429	1515	1321	886
LINC00111	1	0	0	0
RHO	0	0	0	0
TMX2-CTNND1	0	0	0	0
MIR497	0	0	0	0
FAM132A	4	8	9	6
VGLL2	0	0	0	0
CHD8	1392	2466	2992	1799
ERCC-00053	0	0	0	0
MXRA7	29	92	98	52
OR5AN1	0	0	0	0
LYPD4	0	0	0	0
LOC284454	2	5	3	11
MYRF	7	19	14	12
LOC493754	53	227	118	101
LOC101927476	0	0	0	0
OR5I1	0	0	0	0
MIR599	0	0	0	0
KLF8	7	34	23	11
MIR543	0	0	0	0
PKN3	37	212	107	68
OR10J3	0	0	0	0
SNAI3	16	34	41	29
HEPHL1	9	3	1	1
PAK6	6	28	23	13
FBXW2	529	1304	1387	896
DYX1C1	7	28	24	9
HDGF	9923	23940	20816	11038
MIR542	0	0	0	0
ZC4H2	1	0	0	0
MIR1246	0	0	0	0
SUSD3	21	134	60	42
SETX	1097	1680	2052	1430
PPIAL4G	0	0	0	0
SENP3-EIF4A1	0	1	0	2
SNORA64	2	17	14	16
MIR147B	0	0	0	0
OR4D10	0	0	0	0
ARFGEF1	862	1511	1719	1100
HEXIM2	50	201	135	58
TTTY21	0	0	0	0
POLD1	440	2106	1271	915
ZNF740	322	1151	797	623
TMEM161A	147	843	473	332
LOC645354	0	0	0	0
PMP22	1167	2427	4075	1783
LINC00548	0	0	0	0
FNIP1	203	635	529	550
ZNF492	8	4	14	5
LIN28A	0	0	0	0
OVCA2	3	35	30	24
LOC440434	44	99	42	28
FAM135A	110	145	291	152
EIF2B5	353	915	857	506
RANBP10	272	1057	773	514
MACROD1	536	2496	1849	1035
SPANXN2	0	0	0	0
DMP1	3	5	3	2
TWSG1	861	1344	1998	1180
PRDX2	3039	11996	11853	6693
MRPL44	158	502	380	279
MIR8074	0	0	0	0
NUP43	263	401	389	189
MIR329-2	0	0	0	0
MYH11	31	2	0	1
DPRXP4	0	0	1	0
LINC00881	0	0	0	0
PARP1	3870	6137	8964	5100
TBCC	223	523	519	284
EMCN	7	11	4	16
MRPS7	1128	2582	3016	1598
POMT2	285	1146	650	411
ZNF189	101	234	191	105
SLC22A12	0	0	0	0
POLR3A	482	998	1175	687
HTRA2	374	802	732	441
RTN1	3	12	37	26
ZIC5	44	49	67	51
SLTM	964	1320	1759	1048
SPRR2F	0	0	0	0
CDC42EP2	114	177	371	156
LOC400620	0	0	0	0
SCGB1D2	0	1	0	1
PCDHB15	7	27	20	9
TAS1R1	0	1	3	0
GOT1	574	2435	1499	959
SSBP4	279	1271	1355	705
MIR4315-2	0	0	0	0
OC90	0	0	0	0
COPZ2	38	103	102	63
AMPH	199	610	933	627
LHFPL5	1	2	0	2
TNNI1	18	0	2	0
CASR	0	0	0	0
FAM84A	1374	2822	2145	1024
LRRC37A6P	14	26	9	22
LOC101929829	0	0	0	0
MIR567	0	0	0	0
LOC101929591	0	0	0	0
DAB1	0	0	1	0
RTF1	936	1646	2085	1285
MYLK3	1	4	0	1
PGM2	559	1047	1244	618
PPP1R3D	618	1395	1213	706
ANO7	13	26	16	16
MIR6786	0	0	0	0
DYNC1LI1	613	1146	1052	508
PRIMA1	37	92	50	26
PSEN1	760	1952	1720	953
PASK	67	110	155	71
RRN3	559	1034	1148	766
BTF3P11	0	0	0	0
MAP2	41	77	210	112
ATP6V0A2	154	260	432	244
CROCCP2	21	71	46	45
PPP1CA	3666	10924	10886	6112
KNOP1	429	784	975	541
PCDHB1	0	3	3	1
DISP2	5	14	15	11
DOK5	0	0	0	0
ART4	0	0	0	0
MIR4649	0	0	0	0
LPP-AS2	10	45	33	27
SSR4	1499	4123	4943	2325
KLF4	58	210	82	50
GPRC5B	38	116	111	98
KIRREL2	0	0	0	0
TTTY2B	0	0	0	0
LYPD5	0	0	0	0
YIF1A	430	2018	1604	744
ANKRD18A	25	73	67	49
ZNF16	122	530	328	178
BNIP2	340	476	555	403
DNAJC13	865	2073	1564	1143
PPRC1	388	782	1154	700
SPATA6	3	6	3	2
ZNF513	6	5	7	5
KIAA0100	3873	9294	10740	6933
CCNYL2	2	3	0	0
B4GALT2	544	1951	2216	1287
PKP1	127	432	264	209
SYK	550	1784	1425	865
TXNL4B	144	287	484	254
PNLIPRP1	0	0	0	0
NRBP2	98	575	337	254
ASXL2	503	1255	1101	871
ATXN3L	0	0	0	1
GNB2	1861	7380	7102	3922
LINC01138	7	35	24	9
SBK3	0	1	4	2
MIR4697	0	0	0	0
OR1C1	0	0	0	0
LINC00545	0	0	0	0
SLC39A13	103	548	385	255
GCHFR	99	474	543	353
APOC1	10	39	46	33
STK11IP	164	859	626	354
MAF1	1738	5828	3960	2060
AFF2	11	15	32	11
SETSIP	0	6	2	5
MIR3926-1	0	0	0	0
SKP2	421	575	936	549
MIR8081	0	0	0	0
KCTD5	402	1017	1205	679
SLC31A1	574	1282	1256	807
SEC61A2	280	241	249	108
PIWIL2	0	0	0	1
GRHL2	597	2044	1714	1694
PERM1	11	22	7	9
MIR3148	0	0	0	0
NUTM2B	0	5	5	5
MIR7155	0	0	0	0
PRAMEF1	0	0	0	0
BRS3	0	0	0	0
ALG1L2	0	0	0	1
SOWAHC	939	1479	1984	1094
ABHD6	8	17	11	13
LAMTOR3	253	394	434	305
MS4A7	0	0	0	0
GUCY1B2	6	17	8	8
RNF103	459	1020	910	614
SYNJ2BP-COX16	0	0	0	0
YAE1D1	79	195	132	88
C8orf4	1	1	0	0
MIR425	0	0	0	0
FLJ41941	0	3	0	0
PRR22	2	21	37	26
MIR6756	0	0	0	0
MIR548B	0	0	0	0
KIR3DL2	0	0	0	0
SLC16A9	22	70	109	56
DDX54	1547	5792	4536	2917
C5orf24	469	892	1063	608
SYT2	1	0	4	0
CCDC53	347	559	475	218
CPNE4	2	2	5	4
CLYBL-AS2	0	0	0	0
SFXN2	363	1400	1375	839
ATP11C	447	594	767	466
KLK1	2	10	11	3
SGCG	229	1240	320	217
C11orf35	19	111	40	22
GIF	0	0	0	0
SMAD7	25	96	129	72
MSL1	720	1151	1683	940
OR8B4	0	0	0	0
OR1I1	0	0	0	0
MIR1185-2	0	0	0	0
THUMPD3-AS1	302	747	711	320
C10orf62	0	0	0	0
PARM1	3	6	2	1
BICD1	120	281	314	194
U2AF1	1877	2767	4343	2057
GABRG3	0	0	0	0
PUSL1	138	630	682	448
MPPE1	148	385	353	185
TOP1P1	6	6	15	4
TRAPPC13	153	366	332	171
TWIST2	0	0	0	0
SLC22A15	16	43	32	22
MTUS2	0	7	16	3
NADSYN1	535	2766	1985	1206
PCNP	1298	1862	2100	1142
WHSC1L1	495	1131	1035	710
ERVV-2	0	0	0	0
SOX14	0	0	0	0
RASL10A	11	83	74	41
IST1	1211	3174	2585	1576
CCDC126	12	43	34	35
TOB1	2942	6609	4667	2989
SLC16A10	61	72	192	87
NME1	1730	3531	4503	2090
MIR3134	0	0	0	0
APRT	2394	9811	9759	5544
TSPAN11	0	0	0	0
EGLN2	0	1	2	0
PAX7	0	4	0	1
NUDT5	801	1197	1952	837
IRX2	193	682	471	215
CAMSAP3	403	1513	1253	767
B3GALT6	213	686	732	405
C12orf74	0	0	0	0
CEP44	29	89	55	45
ZNF804B	2	1	2	2
LINC01089	15	36	36	31
TMEM231	102	426	237	186
MIR30D	0	0	0	0
LINC00895	0	0	0	0
YIPF1	286	729	512	306
SNORA48	2	9	3	0
MEX3A	440	705	1333	709
HBB	0	0	0	0
CALML3-AS1	14	77	39	42
RBM25	2142	2185	4559	2657
NIFK	834	1343	1523	744
ARPC5L	721	1238	1751	836
IER3IP1	493	893	925	468
DBF4B	115	228	253	117
ERCC-00137	0	0	0	0
NUP210P1	0	0	0	0
POLRMT	284	1097	950	573
ATP8B2	364	1958	1316	1079
PDX1-AS1	0	3	2	0
NCRNA00185	0	0	0	0
IGDCC3	57	152	265	136
DDIT4L	46	56	95	40
LOC100506790	0	0	0	0
ANAPC1P1	1	0	0	4
ANKRD20A2	0	0	0	0
CNIH2	152	504	562	234
NPAS1	15	132	51	42
BARHL1	0	0	0	0
CCDC8	1	2	3	5
PTH2	0	0	0	0
GOLGA8G	0	0	0	0
LRRC49	36	51	35	27
THRSP	30	158	157	137
TMPO	3984	6149	6354	3572
AGAP7	0	0	2	1
LINC01349	0	0	0	0
EDEM2	142	437	472	294
CLVS2	0	0	0	0
FAM212B	353	1028	979	594
PPP1R27	0	1	0	0
ZNF699	4	23	13	10
NCMAP	19	75	56	54
HMMR	1158	1437	1376	626
GRAPL	0	0	0	0
RNU6-71P	0	0	0	0
HEATR5B	321	660	749	507
FBXL6	50	299	343	206
RTDR1	0	2	2	2
ADAMTS1	186	359	607	364
TREX2	0	0	6	8
LOC100130849	0	0	0	0
RAC3	133	549	578	330
MIR4709	0	0	0	0
PRICKLE1	7	31	53	28
C12orf75	698	1189	2482	1165
LOC101929084	0	0	5	3
CLEC12B	0	0	0	0
LOC100506371	0	0	0	0
MIR148A	0	0	0	0
USP8	1585	3157	2845	1945
DNAJB13	0	6	2	1
SOX2-OT	0	3	1	0
ARSG	91	427	375	191
RPL23AP82	46	64	113	37
IQCE	338	857	1268	790
TNRC6B	540	1691	1425	1174
LOC101928248	0	0	0	0
TM4SF19-TCTEX1D2	0	0	0	0
MIR548I2	0	0	0	0
SEC16A	2714	7053	6908	4755
NUDT17	34	233	92	49
TEX35	0	0	0	1
LPCAT4	43	113	163	127
OR14I1	0	0	0	0
SNRPD2	2218	5028	5413	2823
FAM117A	76	182	250	144
ACYP1	43	134	122	59
MAPK12	25	94	68	37
HEATR9	0	0	0	0
MIR3609	1	0	0	0
CEACAM1	0	6	13	4
MIR500A	0	0	0	0
C4orf33	45	128	79	64
TNXA	0	0	0	0
CNBD1	0	1	5	1
STEAP1	0	0	1	0
MIR3621	0	0	0	0
CLK2P	0	1	2	1
TMEM82	0	0	0	0
CRISPLD2	53	174	225	149
RHOB	2354	6499	8266	5723
PCTP	196	472	420	273
ANKRD7	0	0	0	0
GUCY2D	0	3	1	1
SUGT1P3	2	3	4	5
GFOD2	284	958	936	553
ARMCX1	34	113	95	36
FLJ13224	0	2	0	0
CCDC62	3	8	13	1
ZBTB24	173	238	283	178
IQCF3	0	0	0	0
HIST1H2BA	0	0	0	0
DMTN	97	404	356	201
GNG4	37	98	101	59
FAM110A	141	755	505	315
ST7-AS1	43	43	15	17
USP17L22	0	0	0	0
MIR126	0	0	0	0
METTL6	227	362	438	218
IL24	39	33	36	29
STXBP1	467	1159	1024	606
TMEM223	147	545	435	256
PLAU	0	4	12	3
WEE2	7	4	0	0
ARF6	1322	3254	4287	2869
CPB1	0	0	0	2
CECR7	0	4	1	0
SLC12A8	18	49	73	51
DZIP1	0	0	0	0
SNHG16	423	1269	1376	1104
PRR12	388	1848	1776	1135
CAPN11	4	12	8	7
MRPS27	714	2091	1943	1375
BMS1P4	3	5	5	17
OR4K14	0	0	0	0
CHSY3	5	4	26	12
EYA4-AS1	0	0	0	0
NOX3	0	0	0	0
RPL15	5748	13944	14698	9312
OR7D4	0	0	0	0
KCNJ1	0	0	0	0
KRTAP9-1	0	0	0	0
SOWAHB	22	143	207	103
ZNF248	110	187	222	112
ATG16L2	30	231	140	118
PLEKHG4	31	283	133	86
TYW1	124	255	268	129
LRRC52	0	0	1	0
KIAA1033	572	881	1002	629
SLC17A2	0	0	0	0
NOL9	149	450	479	285
VCX2	0	0	0	0
HOXB-AS3	1	0	0	0
ZNF816-ZNF321P	0	0	0	0
NPFFR1	0	0	0	0
OPRK1	0	0	0	0
LZTS1-AS1	0	0	0	0
PELI2	1	5	1	1
ZNF44	139	265	218	156
LOC100506178	0	0	2	0
RCAN2	0	1	1	0
QDPR	416	1016	1083	493
SLC39A9	457	1317	1277	1087
OR4N4	0	0	0	0
LUM	0	0	0	0
CASP9	50	201	133	96
BMP8A	9	24	64	52
SET	6885	12312	13569	8290
MTRNR2L6	0	4	0	1
CYP21A2	0	2	0	2
XRRA1	140	267	272	143
MRPL15	688	1514	1497	772
GBX2	16	19	32	13
NGRN	944	2849	2772	1467
ZNF620	93	189	151	84
SLC39A4	253	770	742	393
SLC34A3	1	0	0	0
TTBK2	26	99	45	65
MIR548G	0	0	0	0
LINC00408	0	0	0	0
FRS2	1203	2238	2451	1658
C16orf90	0	0	0	0
MAN1B1-AS1	22	206	83	88
CPS1-IT1	0	0	0	0
ZNF721	507	725	687	396
DCDC1	0	2	0	1
CHST11	192	642	610	427
RNF112	2	0	0	0
NUDT16	176	732	607	364
SNORD114-18	0	0	0	0
SLC34A1	0	0	1	1
GATSL3	32	141	139	67
MIR4721	0	0	1	0
STK39	719	1599	1603	871
C10orf82	1	0	0	0
CISD3	315	631	701	354
ACAD10	163	555	608	465
NLRX1	39	164	141	103
RNF212	0	0	1	0
FER	80	139	104	84
ALPK1	122	343	253	116
NXPH2	0	2	0	1
MBD3L1	0	0	0	0
CLDN14	0	1	0	1
LINC00674	2620	7837	6043	4348
MIR4776-2	0	0	0	0
KLHL33	0	0	0	0
KCNK15	53	315	451	220
TDRD7	127	248	308	178
C1QL2	0	0	0	0
MIR3666	0	0	0	0
SCAP	485	2505	1671	992
LOC101926963	0	0	0	0
RNF19A	519	1091	1012	558
FKBP8	2593	11716	10222	6030
FAS	73	144	74	40
BATF2	36	87	78	52
SNORA14B	0	1	1	1
DNMT3B	300	533	581	362
KCNC4	60	195	174	110
CD3EAP	300	455	799	388
HSP90AA1	27433	29274	46174	21958
ADH5	1313	2634	2593	1272
ZFP1	409	743	644	325
LINC00489	0	0	0	0
PPAT	520	815	1022	605
GMPR	83	199	251	147
LPGAT1	463	857	1134	646
RETN	0	0	0	0
ZNF280C	16	34	35	38
C4B_2	0	0	0	0
NPC1	686	1274	1591	995
ARHGEF15	0	0	0	0
ARL15	57	106	154	121
COQ6	131	544	347	206
CALCOCO2	927	3410	1747	1084
RTN4IP1	123	162	181	87
MIEF2	93	515	455	309
ZNF516	202	936	641	564
KRT80	441	1684	2623	1368
XAGE2	0	0	0	0
LOC100133920	0	0	0	0
MARCKS	815	1758	2542	1249
FUNDC2	372	915	1238	628
RPL35A	3584	8403	9011	4912
MCPH1	202	358	326	194
MECP2	418	1471	1477	1050
MIR182	0	0	0	0
RAPGEF6	241	321	442	300
MIR381HG	0	0	0	0
RPS15A	4969	13772	11204	6917
LINC00638	14	65	100	69
ZSWIM2	0	0	0	0
ZNF767P	9	39	10	23
PQLC1	205	883	969	584
SENP7	99	205	181	123
LRRC70	3	0	2	0
ZSCAN29	54	165	145	109
ZNF91	163	293	236	190
DERL2	281	648	627	329
ANXA11	867	2926	2251	1350
LINC00954	1	0	0	0
LOC100131655	2	10	17	19
GNA13	3414	6215	4856	3088
FAM133A	0	1	1	0
EN1	0	0	0	0
COQ2	200	546	419	194
GALNT9	1	1	1	3
MIR4642	0	0	0	0
KIN	123	362	263	125
GRAMD1C	26	46	58	30
LINC01207	0	0	3	0
MRPL4	641	2616	2713	1448
EML5	69	106	118	95
LINC01252	0	2	0	1
HIST1H3I	0	3	1	3
LRTM1	0	0	0	0
CSTA	0	2	3	1
ORAI2	292	817	1023	618
RFX1	239	1167	783	496
RPUSD2	121	257	350	163
ADRA1B	0	1	1	1
CT47A4	0	0	0	0
BDNF-AS	1	7	12	8
LRP4-AS1	4	12	15	16
CASP12	0	0	0	0
MIR6790	0	0	0	0
SLITRK6	266	1637	583	404
LOC101927286	0	0	0	0
GALNT6	1479	4011	3706	2624
TTC3P1	28	79	40	28
PIR	211	304	304	139
SNORA72	0	0	0	1
TP53BP1	450	669	877	492
LINC01002	0	2	0	0
PLAG1	5	16	13	9
EIF4A2	398	1485	901	552
ZNF268	410	797	652	466
TAGAP	0	0	0	0
C11orf97	0	0	0	0
OCM	0	0	0	0
CHD1	647	739	1116	710
LOC101929344	0	0	0	0
C4orf6	0	0	0	0
BEND3P3	21	0	1	0
KANK1	104	186	298	173
UTP3	557	926	1439	713
RBMXL3	0	0	1	0
SLC25A25	426	1613	1275	759
ADRA1D	0	0	0	0
RCVRN	0	0	0	0
LOC644762	4	12	15	14
POU4F3	0	0	1	0
ZNF552	160	455	309	237
TMEM163	15	84	55	42
HSFY1	0	0	0	0
TMEM41A	157	304	334	188
SLFN14	0	0	0	0
LOC101928036	0	0	0	0
CDH20	0	0	0	0
CDKN2AIPNL	426	919	1080	621
RGL3	1	0	5	1
HIF1A-AS1	38	4	4	1
SHROOM2	903	2827	2821	1787
S100PBP	206	383	484	238
PIP5K1A	698	1544	1631	1068
RPL11	11001	30065	33463	18581
SERPINA4	25	104	61	61
SNORD100	0	0	0	2
CFI	0	0	0	0
CDX2	0	0	3	0
BPY2C	0	0	0	0
DHX58	2	6	6	3
MIR4500	0	0	0	0
MIR4327	0	0	0	0
SNX18	276	636	541	329
BAIAP2L2	0	1	0	0
SRGAP2	664	1137	1492	840
KLHL7	236	387	456	230
MIR4497	0	0	0	0
OLIG1	0	0	0	0
FUS	4411	8858	9957	5939
NRL	18	85	33	26
MIR524	0	0	0	0
ASPRV1	2	27	16	2
DDT	341	1267	1258	665
KRT19	20691	51859	67868	38017
TSSK1B	0	0	0	0
MARS2	156	262	397	193
PRKAR2A-AS1	2	9	10	12
DMGDH	0	1	0	0
LINC01128	39	155	119	81
BPIFA3	0	0	0	0
TNFSF12	0	0	0	0
MIR6125	0	0	0	0
TNFSF13	23	146	135	72
TMEM63B	217	991	910	646
ZNF483	0	1	6	8
NKX2-1	0	0	8	1
MIR4281	0	0	0	0
DOT1L	680	1807	2147	1172
PAPOLB	0	0	0	0
CAPN14	0	2	2	1
CD5	0	3	0	0
PHF6	243	342	508	269
LOC101927821	0	0	1	0
GPR143	95	389	327	193
CHCHD5	226	925	854	428
FAM162A	356	712	583	318
LINC00160	1	9	1	1
PROC	0	4	12	8
MIR6839	0	0	0	0
MIR1298	0	0	0	0
SLC35E1	1012	3098	2927	1763
DNAI2	0	0	0	0
MLN	0	0	0	0
RBP1	67	203	207	111
SLCO3A1	143	369	467	274
KCNH8	0	0	1	0
OR2T11	0	0	0	0
ADCY10P1	0	4	2	4
CAMK1D	121	417	331	246
GPR97	0	0	2	0
ERCC-00054	0	0	0	0
CEACAM3	0	1	0	0
HOMER1	366	607	585	374
CALB1	3	1	2	1
MYH7B	0	3	0	3
SPA17	153	232	261	106
NAA15	1367	1709	2740	1700
SNCA	0	0	0	0
SEMA3A	124	241	200	113
TRPV4	27	86	59	34
SNRNP48	389	709	671	442
ZNF674	45	156	53	47
WBP4	329	517	625	364
TMEM244	0	0	0	0
ZNF705E	0	1	1	0
ALG11	35	69	61	49
MIR520G	0	0	0	0
LINC00578	0	0	0	2
FAM185A	48	104	75	44
FAM53C	621	1862	2036	1174
RBM46	0	0	2	0
RP1L1	1	3	1	0
SHD	0	0	0	0
DBR1	187	272	410	205
LENEP	0	0	0	0
SASH3	0	0	0	0
CRYM-AS1	1	13	5	1
CHST2	0	0	0	0
SLC1A7	0	0	0	0
RUNX3	4	1	4	3
DEFB127	0	0	0	0
CDIP1	14	66	47	27
GSN-AS1	20	0	0	1
PARD3	710	1960	1641	925
ERMARD	168	410	361	205
GPR110	0	0	0	0
ZRSR2	147	336	249	162
C18orf64	0	0	0	0
MIR4729	0	0	0	0
PYGO1	21	50	36	39
ADAM12	0	6	4	5
MIR3618	0	0	0	0
LOC494141	0	0	0	0
HMGCL	233	948	771	462
EHD2	52	221	75	66
NOX4	0	0	0	0
LOC154761	2	14	4	0
LRRC75B	27	229	128	97
PIBF1	88	115	129	71
SNX33	183	631	558	374
CSNK1D	1029	2968	2828	1675
TBC1D21	0	0	0	0
ZNF664	1827	3578	4188	2555
GPATCH11	138	197	194	133
CBR3-AS1	45	51	40	21
TUSC3	903	1820	2093	1201
ANAPC10	208	209	202	78
NCK1-AS1	55	155	161	101
MRPL48	305	683	594	302
C10orf40	0	0	0	0
ZNF569	192	340	222	125
MIR671	0	0	0	0
MIR520B	0	0	0	0
MIR450A1	0	0	0	0
C1R	20	47	22	8
WDR96	2	3	5	4
SNX25	52	96	128	53
SAMSN1	0	0	0	0
SMC1A	2769	6062	6372	4237
GLI4	26	376	142	115
IPO7	2787	5901	5414	3576
TPM3	6752	12347	15875	8331
NCOR2	1639	6475	5833	3658
LOC100507537	0	0	0	0
ANKRD13C	365	577	793	461
PSMD6-AS2	8	16	8	10
RIMS4	113	688	850	536
PTCHD3	0	0	0	0
MYB	653	2540	1300	972
LOC101927770	6	2	17	5
DNHD1	12	44	44	45
CRYAB	0	2	0	1
TPSG1	4	0	0	0
LOC283692	5	0	2	0
SUV420H2	161	786	695	407
COPS3	1022	2029	1577	890
LOC643711	0	0	3	0
C1QTNF6	30	131	257	125
ARPC5	1820	2890	4480	2272
ACTL7B	0	0	0	1
SLC6A8	133	296	457	225
LRP2	64	139	191	162
RBMY1B	0	0	0	0
GART	781	1399	1602	867
RPS13	6498	14832	14616	7593
SKP1	2841	5100	5912	2939
JAG2	184	505	754	466
CADM2	4	13	12	12
UHRF1BP1L	507	1188	809	493
SLC24A3	465	1616	1274	820
PCYT1B-AS1	0	0	0	0
GIN1	121	206	206	109
PNCK	0	1	0	2
CBR1	360	679	978	572
MIR144	0	0	0	0
EPHA4	405	1199	1350	693
PABPC5	0	0	0	0
PCDH1	192	1378	384	226
SRD5A1	160	357	537	325
LINC00380	0	0	0	0
CRYGS	0	2	0	3
SNORA77	1	0	0	0
MIR3975	0	0	0	0
QSER1	1432	1779	2251	1336
DNAJC1	1309	4992	3020	1686
MIR3173	0	0	0	0
COL8A2	1	2	1	0
TRIM22	0	1	4	2
UFSP2	324	740	513	258
TIMM17B	594	2411	1980	1016
DKFZP434I0714	48	116	76	36
PRPF38B	986	1048	1530	749
TUBA1B	16025	35247	45452	21935
SOCS4	454	586	906	501
TRIP6	1	2	0	1
CCDC134	19	110	78	65
OR4C46	0	0	0	0
MIR4456	0	0	0	0
PSD	24	146	194	115
FSD2	8	0	3	1
LOC100506159	0	0	0	0
KRT34	0	0	0	0
MAGEC2	1	0	0	0
SNAP91	0	1	2	0
LINC00327	3	1	3	2
COL12A1	2213	5810	13426	9831
GZF1	285	579	625	381
LONP1	765	4395	2354	1572
PGRMC1	1968	3010	3712	1983
CERS6	2360	4720	4081	2834
HIST2H2AB	3	9	4	0
NXT2	205	343	232	142
CLEC2D	15	69	86	53
MAPK8IP2	7	17	20	20
RXRA	1371	5443	5500	3567
DAOA-AS1	0	0	0	0
ARHGAP4	28	204	113	79
NAA30	529	878	1088	599
MIR3192	0	0	0	0
RARS2	659	1163	1055	564
KLHL15	172	292	335	201
ATAD1	522	1193	1043	584
MYADM	440	1358	865	505
SCARNA17	0	2	2	3
FADS6	0	0	0	0
HKR1	142	540	285	225
MIR100HG	0	0	0	0
SNORD115-42	0	0	0	0
AP4B1-AS1	315	421	196	163
MIR6501	0	0	0	0
FITM1	1	6	8	3
CABP7	21	0	0	0
HSPH1	1755	1408	2781	1197
SELO	230	849	1203	714
EHD4	193	381	509	273
MIR133A1HG	0	0	0	0
HEYL	24	99	41	33
EXOC6	386	565	647	376
GPR12	0	0	0	0
MIR3120	0	0	0	0
TEKT4P2	53	171	133	90
LLGL1	206	855	645	476
TCP10L	0	5	8	2
MED13L	1490	6408	2745	2465
ZNF222	29	76	62	24
MIR502	0	0	0	0
MIR4520A	0	3	4	1
ZNF593	160	548	577	322
A4GNT	0	0	0	0
NCR2	0	0	0	0
MIR6752	0	0	0	0
LOC283710	0	0	1	0
FAM159A	0	0	0	0
HMG20B	1355	6071	4033	2669
SPX	0	0	0	0
CROCCP3	15	25	8	11
LOC100507540	0	0	0	1
SNORD61	0	0	0	0
EFHB	1	3	9	9
MIRLET7B	0	0	0	0
MIR548H3	0	0	0	0
FXYD7	0	0	0	0
FOXB1	0	0	0	0
ST5	68	191	190	123
ARL2	130	466	431	216
MPZL1	966	1782	2529	1503
CYB5D2	227	1015	822	532
ZDHHC20	1687	2321	2942	1752
PRRC2B	3184	11601	10346	7368
SNAR-C2	0	0	0	0
CSNK1G1	303	788	882	664
UCHL3	196	406	459	241
EPC1	232	479	430	286
MIR3615	0	0	0	0
WNT9B	0	0	0	0
CHCHD7	293	425	514	279
KRTAP20-2	0	0	0	0
TUBGCP3	217	518	486	253
GKN2	0	0	0	0
NDUFB4	1131	2747	2456	1277
MIR2276	0	0	0	0
RAMP2	5	19	12	12
ADAM6	0	0	0	0
STX18	222	539	387	233
NIPSNAP1	687	2810	1488	964
TSPAN19	0	0	0	0
LNX2	261	520	612	343
FPGT-TNNI3K	0	0	0	0
MIR431	0	0	0	0
LINC00371	0	0	0	0
C15orf54	0	0	1	0
MIR4673	0	0	0	0
LRRC1	259	527	532	357
ZNFX1	382	1061	1513	828
BAGE3	0	0	0	0
TBC1D24	148	369	591	421
MRPL49	955	2216	3444	1897
LPAR3	0	0	0	0
LINC00264	0	0	0	0
ZBTB25	22	98	50	47
HIST1H4I	0	10	0	0
INSM2	0	0	0	0
TMEM260	76	269	183	105
ATP1A1	8568	25306	21439	13063
CTXN2	0	1	1	1
TRMT11	68	198	131	74
F8A2	0	0	0	0
DTYMK	283	757	862	423
NPTX2	1	0	0	0
CNOT4	348	795	769	410
OR12D3	0	0	0	0
RNF169	309	743	600	517
MIR1231	0	0	0	0
LINC01094	0	2	0	2
ATRAID	1161	2925	2186	1164
ZDHHC3	360	951	944	514
AKNA	60	427	259	148
NIPA2	723	1148	1389	707
DOCK9-AS1	0	0	0	0
EXOC7	908	3153	2919	2079
GSTM3	791	1511	2059	898
TNRC18P1	2	3	5	6
SLC25A29	309	1227	1560	1051
OR52N1	0	0	0	0
SNORA33	0	0	7	4
ARHGEF19	360	1618	1184	779
EVI5L	134	560	439	250
DIO3	8	11	9	9
SHC3	14	29	116	72
CHURC1-FNTB	0	0	0	0
SYNJ2	279	793	589	359
ZNF750	27	162	55	56
C5orf52	0	0	0	0
BCL2L2	237	989	544	364
LOC729296	0	0	0	0
ZFPM2	0	0	0	0
INTS4	267	773	466	300
MIR4324	0	0	0	0
EFHC2	2	4	3	3
ANP32E	1828	3018	3296	2241
ELTD1	0	0	0	0
SPECC1	469	1673	1539	1075
C2orf50	1	9	6	2
AVPR2	0	0	0	0
EIF4EBP2	2593	4631	7030	4257
FTMT	0	0	0	0
CACHD1	51	126	117	91
SNAR-A6	0	0	0	0
GSTA1	17	52	15	7
HIST1H2AA	0	0	0	0
GRB7	88	576	152	90
RRN3P2	4	3	5	1
KNTC1	427	700	565	378
DUSP10	41	195	80	77
NACC1	1723	5468	7082	4596
MFN1	306	531	722	492
OR5K3	0	0	0	0
LOC644838	0	0	0	0
TRIM64	0	0	0	0
PAFAH1B3	724	2348	2098	1084
LOC100130357	3	7	4	9
GRTP1	236	693	548	339
SPDYE2B	0	0	0	0
VTI1B	1091	2771	2684	1527
ABT1	295	668	744	396
PPP1R36	11	22	15	14
CLUL1	9	6	4	3
